Name,Slug,Homepage,Short Description,Price Text,Pricing,Categories,Verified,Favorite Count,Updated At,text
Leonardo.AI,leonardoai,https://leonardo.ai/,Leverage generative AI with a unique suite of tools to convey your ideas to the world.,,Freemium,"image generator, image to image",True,1,2025-04-11,"Leonardo.AI — Leverage generative AI with a unique suite of tools to convey your ideas to the world. | image generator, image to image | Freemium | https://leonardo.ai/"
Stack AI,stack-ai,https://www.stack-ai.com/,"Empower enterprise AI with scalable, customizable, secure solutions for innovation and efficiency.",199/mo,Freemium,ai chatbots,True,1,2025-04-11,"Stack AI — Empower enterprise AI with scalable, customizable, secure solutions for innovation and efficiency. | ai chatbots | Freemium | https://www.stack-ai.com/"
ChatGPT,chatgpt,https://chat.openai.com/chat,"Revolutionize interaction, creativity, and innovation with the leader in AI.",20/mo,Freemium,"productivity, search engine",True,2,2025-04-11,"ChatGPT — Revolutionize interaction, creativity, and innovation with the leader in AI. | productivity, search engine | Freemium | https://chat.openai.com/chat"
Google Gemini,google-gemini,https://gemini.google.com/app,"Multimodal reasoning across text, images, audio, and video.",19.99/mo,Freemium,"code assistant, writing generators, ai chatbots",True,1,2025-04-11,"Google Gemini — Multimodal reasoning across text, images, audio, and video. | code assistant, writing generators, ai chatbots | Freemium | https://gemini.google.com/app"
Firebase Studio,firebase-studio,https://firebase.studio/,An agentic cloud-based development environment that helps you build and ship production-quality full-stack AI apps.,,Contact for Pricing,"code assistant, research, ai chatbots",True,0,2025-04-12,"Firebase Studio — An agentic cloud-based development environment that helps you build and ship production-quality full-stack AI apps. | code assistant, research, ai chatbots | Contact for Pricing | https://firebase.studio/"
CGDream,cgdream,https://cgdream.ai/,Transform ideas into visuals with AI-driven image and 3D model generation,10/mo,Freemium,"image generators, text to image, image to image",True,0,2025-04-23,"CGDream — Transform ideas into visuals with AI-driven image and 3D model generation | image generators, text to image, image to image | Freemium | https://cgdream.ai/"
Chat Data,chat-data,https://www.chat-data.com,Boost your website's engagement with AI chatbots customized to your needs. Leverage your own data to create chatbots that enhance user interaction.,1.90/mo,Freemium,"healthcare, ai chatbots",True,5,2025-04-12,"Chat Data — Boost your website's engagement with AI chatbots customized to your needs. Leverage your own data to create chatbots that enhance user interaction. | healthcare, ai chatbots | Freemium | https://www.chat-data.com"
Durable,durable-ai,https://durable.co/,"Create a website, automate marketing & manage finances in 30 secs",15/mo,"Freemium, Deals",website builder,True,3,2025-04-04,"Durable — Create a website, automate marketing & manage finances in 30 secs | website builder | Freemium, Deals | https://durable.co/"
Taplio,taplio,https://taplio.com/,Craft the perfect post to elevate your personal brand on LinkedIn,39/mo,Free Trial,social media assistant,True,0,2025-03-17,Taplio — Craft the perfect post to elevate your personal brand on LinkedIn | social media assistant | Free Trial | https://taplio.com/
GptPanda,gptpanda,https://www.gptpanda.io/,"Integrate ChatGPT into Slack for free with GptPanda. Enjoy a multilingual AI assistant that streamlines workflows, answers queries and boosts productivity in real-time.",1 per user/mo,Freemium,productivity,True,1,2024-11-05,"GptPanda — Integrate ChatGPT into Slack for free with GptPanda. Enjoy a multilingual AI assistant that streamlines workflows, answers queries and boosts productivity in real-time. | productivity | Freemium | https://www.gptpanda.io/"
Hugging Face,hugging-face,https://huggingface.co/,"Your go-to NLP tool for easy model building, training, and deployment.",[],Freemium,"ai detection, ai chatbots",True,0,2024-06-28,"Hugging Face — Your go-to NLP tool for easy model building, training, and deployment. | ai detection, ai chatbots | Freemium | https://huggingface.co/"
Soka,soka,https://trysoka.app/,Effortless Bucket List Management with AI-Powered Recommendations,2.99/mo,Paid,productivity,True,1,2024-04-27,Soka — Effortless Bucket List Management with AI-Powered Recommendations | productivity | Paid | https://trysoka.app/
Aidaptive,aidaptive-powered-by-jarvis-ml,https://aidaptive.com/request-demo/,AI-driven tool for personalized recommendations and predictive analytics.,,Free Trial,"e-commerce, marketing",True,8,2025-03-17,"Aidaptive — AI-driven tool for personalized recommendations and predictive analytics. | e-commerce, marketing | Free Trial | https://aidaptive.com/request-demo/"
Abun,abun,https://abun.com/,"Revolutionizing content creation and SEO with AI automation, targeting organic traffic growth across diverse industries.",49/mo,Freemium,SEO,True,0,2024-07-18,"Abun — Revolutionizing content creation and SEO with AI automation, targeting organic traffic growth across diverse industries. | SEO | Freemium | https://abun.com/"
Luna,luna,https://www.luna.ai/,All-in-one cold outreach platform for small to large businesses,120/mo,Free Trial,marketing,True,8,2025-04-04,Luna — All-in-one cold outreach platform for small to large businesses | marketing | Free Trial | https://www.luna.ai/
Rankify,rankify,https://www.tryrankify.com/,Streamline SEO with AI-driven keyword research and content generation.,25/mo,Paid,SEO,True,0,2024-09-14,Rankify — Streamline SEO with AI-driven keyword research and content generation. | SEO | Paid | https://www.tryrankify.com/
Bright Eye,bright-eye,https://apps.apple.com/us/app/bright-eye/id1593932475,"Multipurpose, all-in-one AI app to generate text, image, code, story, poem, and to analyze image and text, and much more.",,Free,"image generator, search engine",True,7,2024-07-02,"Bright Eye — Multipurpose, all-in-one AI app to generate text, image, code, story, poem, and to analyze image and text, and much more. | image generator, search engine | Free | https://apps.apple.com/us/app/bright-eye/id1593932475"
Jasper,jasper,https://jasper.ai,"An AI-driven platform for efficient, high-quality content creation and marketing strategy enhancement.",39/mo,Free Trial,copywriting,True,1,2025-04-29,"Jasper — An AI-driven platform for efficient, high-quality content creation and marketing strategy enhancement. | copywriting | Free Trial | https://jasper.ai"
Dora AI,dora-ai,https://www.dora.run/ai,"Revolutionize website creation with AI: unique, prompt-driven designs made simple.",18/mo,Freemium,"marketing, website builders",True,1,2025-04-29,"Dora AI — Revolutionize website creation with AI: unique, prompt-driven designs made simple. | marketing, website builders | Freemium | https://www.dora.run/ai"
Prototyper,prototyper,https://www.getaprototype.com/,"Transform ideas into code effortlessly with AI-driven prototyping, collaboration, and versatile framework support.",32/mo,Paid,"startup tools, code assistant",True,1,2025-04-29,"Prototyper — Transform ideas into code effortlessly with AI-driven prototyping, collaboration, and versatile framework support. | startup tools, code assistant | Paid | https://www.getaprototype.com/"
KeywordSearch,keywordsearch,https://www.keywordsearch.com/,KeywordSearch AI boosts ROI for Google & YouTube Ads. Find Best Ad Audiences for Business in minutes using AI,97/mo,Free Trial,"SEO, marketing",True,4,2025-04-09,"KeywordSearch — KeywordSearch AI boosts ROI for Google & YouTube Ads. Find Best Ad Audiences for Business in minutes using AI | SEO, marketing | Free Trial | https://www.keywordsearch.com/"
Eleven Labs,eleven-labs,http://elevenlabs.io/,"Revolutionize audio content with AI-driven, lifelike voice synthesis and customization.",5/mo,Freemium,text to speech,True,18,2025-04-09,"Eleven Labs — Revolutionize audio content with AI-driven, lifelike voice synthesis and customization. | text to speech | Freemium | http://elevenlabs.io/"
Gnomi App,gnomi-app,https://www.gnomi.com/,"Unlock global perspectives, customize content, and engage with a diverse community in real-time.",,Free,"summarizer, research, education",True,1,2025-04-23,"Gnomi App — Unlock global perspectives, customize content, and engage with a diverse community in real-time. | summarizer, research, education | Free | https://www.gnomi.com/"
GoProfiles,goprofiles,https://www.goprofiles.io/,Revolutionize team engagement with AI-driven employee recognition and profiles.,,Contact for Pricing,human resources,True,3,2025-01-31,GoProfiles — Revolutionize team engagement with AI-driven employee recognition and profiles. | human resources | Contact for Pricing | https://www.goprofiles.io/
Smart Scribe,smart-scribe,https://www.smartscribe.co/,Convert audio and video to text in just a few clicks using Smart Scribe,11.41/hour,Paid,transcriber,True,0,2025-04-29,Smart Scribe — Convert audio and video to text in just a few clicks using Smart Scribe | transcriber | Paid | https://www.smartscribe.co/
AutoCut,autocut,https://www.autocut.com/en/,"Revolutionize video editing: automate silences, captions, B-rolls, enhancing quality and efficiency.",9.99/mo,Free Trial,"video editing, audio editing",True,1,2025-04-29,"AutoCut — Revolutionize video editing: automate silences, captions, B-rolls, enhancing quality and efficiency. | video editing, audio editing | Free Trial | https://www.autocut.com/en/"
