Name,Slug,Homepage,Short Description,Price Text,Pricing,Categories,Verified,Favorite Count,Updated At
Leonardo.AI,leonardoai,https://leonardo.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Leverage generative AI with a unique suite of tools to convey your ideas to the world.,,Freemium,"image generator, image to image",True,1,2025-04-11
Stack AI,stack-ai,https://www.stack-ai.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Empower enterprise AI with scalable, customizable, secure solutions for innovation and efficiency.",199/mo,Freemium,ai chatbots,True,1,2025-04-11
ChatGPT,chatgpt,https://chat.openai.com/chat?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Revolutionize interaction, creativity, and innovation with the leader in AI.",20/mo,Freemium,"productivity, search engine",True,2,2025-04-11
Google Gemini,google-gemini,https://gemini.google.com/app?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Multimodal reasoning across text, images, audio, and video.",19.99/mo,Freemium,"code assistant, writing generators, ai chatbots",True,1,2025-04-11
Firebase Studio,firebase-studio,https://firebase.studio/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,An agentic cloud-based development environment that helps you build and ship production-quality full-stack AI apps.,,Contact for Pricing,"code assistant, research, ai chatbots",True,0,2025-04-12
CGDream,cgdream,https://cgdream.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Transform ideas into visuals with AI-driven image and 3D model generation,10/mo,Freemium,"image generators, text to image, image to image",True,0,2025-04-23
Chat Data,chat-data,https://www.chat-data.com?via=aitoolhouse,Boost your website's engagement with AI chatbots customized to your needs. Leverage your own data to create chatbots that enhance user interaction.,1.90/mo,Freemium,"healthcare, ai chatbots",True,5,2025-04-12
Durable,durable-ai,https://durable.co/?via=aitoolhouse.com,"Create a website, automate marketing & manage finances in 30 secs",15/mo,"Freemium, Deals",website builder,True,3,2025-04-04
Taplio,taplio,https://taplio.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Craft the perfect post to elevate your personal brand on LinkedIn,39/mo,Free Trial,social media assistant,True,0,2025-03-17
GptPanda,gptpanda,https://www.gptpanda.io/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Integrate ChatGPT into Slack for free with GptPanda. Enjoy a multilingual AI assistant that streamlines workflows, answers queries and boosts productivity in real-time.",1 per user/mo,Freemium,productivity,True,1,2024-11-05
Hugging Face,hugging-face,https://huggingface.co/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Your go-to NLP tool for easy model building, training, and deployment.",[],Freemium,"ai detection, ai chatbots",True,0,2024-06-28
Soka,soka,https://trysoka.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Effortless Bucket List Management with AI-Powered Recommendations,2.99/mo,Paid,productivity,True,1,2024-04-27
Aidaptive,aidaptive-powered-by-jarvis-ml,https://aidaptive.com/request-demo/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,AI-driven tool for personalized recommendations and predictive analytics.,,Free Trial,"e-commerce, marketing",True,8,2025-03-17
Abun,abun,https://abun.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Revolutionizing content creation and SEO with AI automation, targeting organic traffic growth across diverse industries.",49/mo,Freemium,SEO,True,0,2024-07-18
Luna,luna,https://www.luna.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,All-in-one cold outreach platform for small to large businesses,120/mo,Free Trial,marketing,True,8,2025-04-04
Rankify,rankify,https://www.tryrankify.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Streamline SEO with AI-driven keyword research and content generation.,25/mo,Paid,SEO,True,0,2024-09-14
Bright Eye,bright-eye,https://apps.apple.com/us/app/bright-eye/id1593932475?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Multipurpose, all-in-one AI app to generate text, image, code, story, poem, and to analyze image and text, and much more.",,Free,"image generator, search engine",True,7,2024-07-02
Jasper,jasper,https://jasper.ai?source=partner&fpr=aitoolhouse.com,"An AI-driven platform for efficient, high-quality content creation and marketing strategy enhancement.",39/mo,Free Trial,copywriting,True,1,2025-04-29
Dora AI,dora-ai,https://www.dora.run/ai?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Revolutionize website creation with AI: unique, prompt-driven designs made simple.",18/mo,Freemium,"marketing, website builders",True,1,2025-04-29
Prototyper,prototyper,https://www.getaprototype.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Transform ideas into code effortlessly with AI-driven prototyping, collaboration, and versatile framework support.",32/mo,Paid,"startup tools, code assistant",True,1,2025-04-29
KeywordSearch,keywordsearch,https://www.keywordsearch.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,KeywordSearch AI boosts ROI for Google & YouTube Ads. Find Best Ad Audiences for Business in minutes using AI,97/mo,Free Trial,"SEO, marketing",True,4,2025-04-09
Eleven Labs,eleven-labs,http://elevenlabs.io/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Revolutionize audio content with AI-driven, lifelike voice synthesis and customization.",5/mo,Freemium,text to speech,True,18,2025-04-09
Gnomi App,gnomi-app,https://www.gnomi.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Unlock global perspectives, customize content, and engage with a diverse community in real-time.",,Free,"summarizer, research, education",True,1,2025-04-23
GoProfiles,goprofiles,https://www.goprofiles.io/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Revolutionize team engagement with AI-driven employee recognition and profiles.,,Contact for Pricing,human resources,True,3,2025-01-31
Smart Scribe,smart-scribe,https://www.smartscribe.co/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Convert audio and video to text in just a few clicks using Smart Scribe,11.41/hour,Paid,transcriber,True,0,2025-04-29
AutoCut,autocut,https://www.autocut.com/en/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Revolutionize video editing: automate silences, captions, B-rolls, enhancing quality and efficiency.",9.99/mo,Free Trial,"video editing, audio editing",True,1,2025-04-29
Sider,sider,https://sider.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Revolutionize web interaction with AI: read, write, and create seamlessly.",4.2/mo,Paid,"writing generators, workflows",True,0,2025-04-29
Durable AI,durable,https://durable.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Transform access to custom software using explainable AI for human-level reasoning & dialogue.,,Contact for Pricing,low-code/no-code,True,0,2024-07-20
